question,Intent
"Jujur, saya merasa cukup cemas sebelum datang ke sesi ini. Saya takut tidak bisa menjelaskan dengan baik tentang apa yang saya rasakan.",Perasaan Takut dan Kecemasan; Perasaan Sebelum Menghadapi Kejadian
"Saya merasa agak gugup, Kak. Saya tidak tahu bagaimana harus mulai menceritakan semuanya.",Perasaan Takut dan Kecemasan; Perasaan Sebelum Menghadapi Kejadian
"Saya merasa baik-baik saja, Kak. Awalnya saya agak terkejut ketika dipanggil, tapi saya ingin mencoba berbicara dan mendengar apa yang bisa saya lakukan untuk merasa lebih baik.",Rasa Syukur dan Apresiasi; Reaksi Terkejut dan Tidak Terduga; Perasaan Sebelum Menghadapi Kejadian
"Saya merasa agak cemas, Kak. Tapi saya ingin mencoba berbicara tentang apa yang saya rasakan.",Perasaan Sebelum Menghadapi Kejadian
"Saya merasa... biasa saja, tapi kadang saya merasa sedih. Saya masih sulit mendapatkan teman, dan saya merasa tidak terlalu berharga.",Perasaan Sedih dan Kehilangan
"Halo Kak. Ya... saya merasa sedikit lebih baik, tapi tetap ada rasa kecewa yang sulit hilang. Saya merasa dikhianati oleh orang yang saya percayai di gereja.",Perasaan Benci dan Jijik; Rasa Syukur dan Apresiasi
"Halo Kak. Sejujurnya, saya masih merasa bingung dengan pertemanan saya di kampus. Saya ingin memiliki hubungan pertemanan yang baik, tetapi saya tidak tahu bagaimana cara menghadapinya, terutama setelah apa yang terjadi dengan teman saya, B.",Perasaan Sedih dan Kehilangan; Perasaan Takut dan Kecemasan; Perasaan Sebelum Menghadapi Kejadian
"Halo Kak. Saya merasa cukup baik hari ini. Saya baru saja menyelesaikan ujian, dan rasanya berjalan cukup lancar. Tidak ada gangguan atau sosok mengerikan yang muncul semalam.",Rasa Syukur dan Apresiasi
"Halo Kak. Hari ini rasanya sedikit lebih baik, tetapi saya masih sering merasa lelah dan mudah kesal.",Rasa Syukur dan Apresiasi; Perasaan Marah dan Frustasi
"Halo Kak, hari ini aku merasa sedikit lebih baik, tapi tetap masih ada rasa cemas dengan kuliah",Rasa Syukur dan Apresiasi; Perasaan Sebelum Menghadapi Kejadian
"Halo Kak, sebenarnya hari ini perasaanku lebih baik dibanding pertemuan sebelumnya. Aku mencoba beberapa hal yang kita diskusikan, seperti lebih aktif bergerak dan berlibur sebentar. Itu cukup membantu.",Rasa Syukur dan Apresiasi; Perasaan Sebelum Menghadapi Kejadian
"Baik, KakÂ ya walaupun agak capek. Maaf aku telat tadi",Perasaan Percaya; Perasaan Sedih dan Kehilangan
"Baik, KakÂ tapi ya, seperti yang aku bilang di kuesioner, aku masih merasa nggak nyaman dengan beberapa hal",Perasaan Percaya; Perasaan Takut dan Kecemasan
BaikÂ atau mungkin tidak baik. Aku nggak tahu pasti.,Perasaan Sedih dan Kehilangan
BaikÂ atau mungkin tidak terlalu baik. Aku juga nggak yakin.,Perasaan Sedih dan Kehilangan
BaikÂ atau mungkin nggak baik juga. Aku nggak tahu.,Perasaan Sedih dan Kehilangan
"Baik, KakÂ tapi jujur agak capek dan masih kepikiran banyak hal",Perasaan Sedih dan Kehilangan
"Baik, KakÂ ya walaupun masih kepikiran beberapa hal sih",Perasaan Sedih dan Kehilangan
"BaikÂ tapi sebenarnya masih sering merasa cemas sih, Kak.",Perasaan Sebelum Menghadapi Kejadian
"Baik, Kak. Aku memang penasaran sih, apakah yang aku lakukan untuk menghadapi masalahku selama ini sudah benar atau belum.",Perasaan Takut dan Kecemasan
"Baik, KakÂ walaupun masih agak canggung sih karena belum pernah konseling sebelumnya",Perasaan Takut dan Kecemasan
Aku tidak tahuÂ Aku merasa sangat lelah dan bingung dengan semuanya.,Perasaan Takut dan Kecemasan
"Halo Kak. Aku tidak tahu... Sejujurnya, aku merasa lebih buruk dibandingkan sesi sebelumnya.",Perasaan Takut dan Kecemasan
